Date	Aircraft Type	Aircraft Ident	Route of Flight	Time in Flight	Day Landings	Night Landings	Instrument	Simulated Instrument	Approaches	Simulator	Night	Cross Country	Solo	Pilot in Command	Second in Command	Dual	As Instructor	Remarks
2/23/2002	C150	N6305G	CRS-LLL	1	1	0	0	0	0	0	0	0	0	0	0	1	0	Introduction/Preflight Checklist/Turns to Headings/Steepturns
4/6/2002	C150K	N770SP	CRS-LLL	1.2	4	0	0	0.4	0	0	0	0	0	0	0	1.2	0	"Ground Reference, Turns About a Point, Slowflight, Low Visibility, Steep Turns, Landings"
4/11/2002	C150K	N770SP	CRS-LLL	1.1	6	0	0	0	0	0	0	0	0	0	0	1.1	0	"Stalls, Power Off, S-Turns, Landings, Patter Work, Preflight"
4/18/2002	C150K	N770SP	CRS-LLL	1.2	5	0	0	0	0	0	0	0	0	0	0	1.2	0	"S-Turns Across Road, Rectangular Patterns, Gusty X Wind Landings"
4/29/2002	C150K	N770SP	CRS-LLL	1.6	6	0	0	0	0	0	0	0	0	0	0	1.6	0	Landings
5/25/2002	C150K	N770SP	CRS-LLL	0.6	2	0	0	0	0	0	0	0	0	0	0	0.6	0	Pre-Solo Written- Passed- Mark Jones 465048239/2-28-03
6/4/2002	C150	N9811J	CRS-LLL	1.2	8	0	0	0	0	0	0	0	0	0	0	1.2	0	"Landings, Stalls In Landing Configuration"
6/6/2002	C150	N9811J	CRS-LLL	1	7	0	0	0	0	0	0	0	0.5	0.5	0	0.5	0	First Supervised Solo
6/7/2002	C150	N9811J	LLL-CRS	0.8	4	0	0	0	0	0	0	0	0.5	0.5	0	0.3	0	Second Supervised Solo
6/8/2002	C150	N9811J	CRS-LLL	1	7	0	0	0	0	0	0	0	0.7	0.7	0	0.3	0	Third Supervised Solo
6/25/2002	C150	N9811J	CRS-LLL	1	4	0	0	0	0	0	0	0	1	1	0	0	0	Local Flight
6/29/2002	C150	N9811J	CRS-LLL	0.3	1	0	0	0	0	0	0	0	0.3	0.3	0	0	0	Additional Practice
7/4/2002	C150	N9811J	CRS-LLL	1	5	0	0	0	0	0	0	0	1	1	0	0	0	Practice Landings
7/7/2002	C150	N9811J	CRS-LLL	1.1	4	0	0	0	0	0	0	0	1.1	1.1	0	0	0	Practice Takeoff/Landings
7/13/2002	C150	N9811J	CRS-LLL	1.1	2	0	0	0	0	0	0	0	1.1	1.1	0	0	0	Flight  Over Town
7/14/2002	C150	N9811J	CRS-LLL	0.9	5	0	0	0	0	0	0	0	0.9	0.9	0	0	0	Practice Takeoff/Landing
7/17/2002	C150	N9811J	CRS-LLL	1.1	4	0	0	0	0	0	0	0	1.1	1.1	0	0	0	Practice Radio Calls Unicom
8/16/2002	C150	N9811J	CRS-LLL	0.8	5	0	0	0	0	0	0	0	0.8	0.8	0	0	0	Short Field Take Off/Landings
8/17/2002	C150	N9811J	CRS-Athens	0.4	3	0	0	0	0	0	0	0	0	0	0	0.4	0	Aircraft Seminar
8/17/2002	C150	N9811J	ATHENS- CRS	0.4	1	0	0	0	0	0	0	0	0.4	0.4	0	0	0	Not 50 Miles X Country
8/24/2002	C150	N9811J	CRS-11R-LXY-CRS	3.7	8	0	0	0.6	0	0	0	3.7	0	0	0	3.7	0	"Duel X Country Instruction, Navagation, Pilotage, Dead Reckoning, VOR, ADF"
9/9/2002	C150	N9811J	CRS-LLL	1.5	2	0	0	0	0	0	0	0	1.5	1.5	0	0	0	Local Flight
9/12/2002	C150	N9811J	CRS-Midway-CRS	1.5	3	0	0	0.6	0	0	0	1.5	0	0	0	1.5	0	"Airport Traffic Pattern, Short Field TO/LDG, VOR Track, Sim. Inst, Emerg. LDG's, Brad Tekell"
9/14/2002	C150	N9811J	CRS-LLL	0.5	1	0	0	0	0	0	0	0	0.5	0.5	0	0	0	Local Flight
9/21/2002	C150	N9811J	CRS-LXY-CRS	1.6	4	0	0	0	0	0	0	0	0	0	0	1.6	0	Prep For X Country
9/22/2002	C150	N9811J	CRS-11R-LXY-CRS	3	3	0	0	0	0	0	0	3	3	3	0	0	0	Solo To Brenhem
9/29/2002	C150	N9811J	CRS- ? - TYR-CRS	2.3	4	0	0	0.6	0	0	0	2.3	0	0	0	2.3	0	"Control Tower LDG's, Cross Wind Practice, Mark Jones"
10/2/2002	C150	N9811J	CRS-TYR-Athens-CRS	2.2	3	0	0	0	0	0	0	2.2	2.2	2.2	0	0	0	Solo Flight To Airport W/control Tower
10/4/2002	C150	N9811J	CRS-FWS-CRS	2	0	3	0	0.5	0	0	2	2	0	0	0	2	0	"Night Flight To Ft. Worth Spinks, Brad Tekell"
10/12/2002	C150	N9811J	CRS-LLL	0.9	4	0	0	0.9	0	0	0	0	0	0	0	0.9	0	"Hood, Partial Panel,Emergency LDG's, Short Field LDG's"
11/5/2002	C150	N9811J	CRS-LLL	1.1	3	0	0	0	0	0	0	0	1.1	1.1	0	0	0	Local Flight
11/8/2002	C150	N9811J	CRS-LLL	1.1	0	7	0	0.3	0	0	1.1	0	0	0	0	1.1	0	"Landings, High Winds, Mark Jones 465048239CFI/EXP2-28-05"
12/2/2002	C150K	N770SP	CRS-LLL	0.6	2	0	0	0	0	0	0	0	0	0	0	0.6	0	Mark Jones 465048239CFI/EXP 2-28-07
12/13/2002	C150K	N770SP	CRS-LLL	0.5	1	0	0	0	0	0	0	0	0.5	0.5	0	0	0	Practice Flight
1/24/2003	C150K	N770SP	CRS-LLL	1	3	0	0	0	0	0	0	0	1	1	0	0	0	Flight Over Local Area
1/27/2003	C150K	N770SP	CRS-LLL	0.6	3	0	0	0	0	0	0	0	0.6	0.6	0	0	0	Flight Over Richland Chambers Area
3/21/2003	C150K	N770SP	CRS-LLL	0.2	2	0	0	0	0	0	0	0	0	0	0	0.2	0	Mark Jones 465048239CFI/2-28-05
3/24/2003	C150K	N770SP	CRS-LLL	1	3	0	0	0	0	0	0	0	1	1	0	0	0	Flight Over Town
4/14/2003	C150K	N770SP	CRS-LLL	1.3	3	0	0	0	0	0	0	0	1.3	1.3	0	0	0	Practice Maneuvers
5/22/2003	C150K	N770SP	CRS-LLL	1	4	0	0	0	0	0	0	0	1	1	0	0	0	Flight Practice
5/24/2003	C150K	N770SP	CRS-LLL	0.2	2	0	0	0	0	0	0	0	0	0	0	0.2	0	"Landings, Mark Jones 465048239CFI/2-28-05"
6/7/2003	C150K	N770SP	CRS-LLL	1	4	0	0	0	0	0	0	0	1	1	0	0	0	Practice Landings
7/1/2003	C150K	N770SP	CRS-LLL	0.3	2	0	0	0	0	0	0	0	0.3	0.3	0	0	0	Short Flight/Weather
7/17/2003	BL-17	N7304V	PSN-CRS	0.6	1	0	0	0	0	0	0	0	0	0.6	0	0	0	Mark Jones 265048239CFI/2-28-05
