Date,Aircraft Type,Aircraft Ident,Route of Flight,Time in Flight,Day Landings,Night Landings,Instrument,Simulated Instrument,Approaches,Simulator,Night,Cross Country,Solo,Pilot in Command,Second in Command,Dual,As Instructor,Remarks
2/13/1980,C152,N46546,APA - COS - APA,1.5,1,0,0,0,0,0,0,1.5,0,0,0,1.5,0,Round Trip - 1st flight
5/21/1989,C152,N4952B,OLV-LOC,0.9,1,0,0,0,0,0,0,0,0,0,0,0.9,0,"Olive Branch MS first training flight, Turns-Climbs-Decents"
5/29/1989,C152,N4952B,OLV-LOC,0.9,1,0,0,0,0,0,0,0,0,0,0,0.9,0,Slow Flight- Steep Turns
6/1/1989,C152,N5276B,OLV-LOC,0.9,1,0,0,0,0,0,0,0,0,0,0,0.9,0,Stalls-Turns around a point- S Turns across road.
6/25/1989,C152,N5276B,OLV-LOC,0.6,1,0,0,0,0,0,0,0,0,0,0,0.6,0,Traffic Patterns
6/28/1989,C152,N68797,OLV-LOC,0.9,10,0,0,0,0,0,0,0,0,0,0,0.9,0,Take Offs - Landings
7/27/1989,C152,N4952B,OLV-LOC,0.9,9,0,0,0,0,0,0,0,0,0,0,0.9,0,Take Offs - Landings
7/29/1989,C152,N5276B,OLV-LOC,0.9,9,0,0,0,0,0,0,0,0,0,0,0.9,0,Take Offs - Landings
8/5/1989,C152,N4952B,OLV-LOC,1.2,4,0,0,0,0,0,0,0,0,0,0,1.2,0,Cross Wind Landings - Take offs
8/7/1989,C152,N68172,OLV-LOC,1,4,0,0,0,0,0,0,0,0,0,0,1,0,VOR Tracking
8/26/1989,C152,N5276B,OLV-LOC,0.7,7,0,0,0,0,0,0,0,0,0,0,0.7,0,Take offs - Landings
9/9/1989,C152,N4952B,OLV-LOC,1.2,12,0,0,0,0,0,0,0,0,0,0,1.2,0,Take Offs - Landings - Full Flap Landings
10/7/1989,C152,N5139B,OLV,1.3,7,0,0,0,0,0,0,0,0,0,0,1.3,0,Soft Field Take offs - Landings
10/8/1989,C152,N5139B,OLV,1,10,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,FIRST SOLO
10/15/1989,C152,N5139B,OLV-HLV,1.3,2,0,0,0,0,0,0,1.3,0,0,0,1.3,0,VFR - XC - VOR TRACKING
10/28/1989,C152,N4952B,OLV-LOC,1.2,4,0,0,0,0,0,0,0,1,1,0,0.2,0,SUPERVISED SOLO
